number_of_lines,month,author,date,time_stamp,commit_details,year,revision
1,Nov,Thomas,2015-11-27,16:57:44,Renamed folder to the correct name,2015,r1551925
1,Nov,Thomas,2015-11-27,09:46:32,Removed unused webview.plan.management and webview_plan_management properties,2015,r1551575
1,Nov,Vincent,2015-11-27,09:38:09,enable all clients,2015,r1551569
1,Nov,Thomas,2015-11-27,09:13:26,Chnaged jira url to htps,2015,r1551558
1,Nov,/OU=Domain Control Validated/CN=svn.company.net,2015-11-27,07:05:41,[gradle-release] prepare for next development iteration,2015,r1551504
1,Nov,Vincent,2015-11-27,06:10:10,SFR-108 : preparing release for SFR,2015,r1551486
1,Nov,Vincent,2015-11-27,06:06:30,SFR-108 : 1.buddy sync removed from settings. 2. italics text corrected.,2015,r1551485
1,Nov,Vincent,2015-11-26,15:01:51,SFR-108 : androidM related strings added.,2015,r1551375
1,Nov,Vincent,2015-11-26,14:35:32,SFR-108 : removed unnecessary layouts which were copy-pasted from amx. They were enabling help_footer,2015,r1551347
1,Nov,Vincent,2015-11-26,14:20:12,SFR-108 : using WL base & snc urls,2015,r1551334
4,Nov,Vincent,2015-11-26,14:17:48,,2015,r1551332
4,Nov,Vincent,2015-11-26,13:58:15,,2015,r1551313
1,Nov,Thomas,2015-11-26,13:48:29,Removed AMX specific layouts.,2015,r1551307
4,Nov,Vincent,2015-11-26,13:30:16,,2015,r1551294
5,Nov,Vincent,2015-11-26,12:16:06,,2015,r1551249
5,Nov,Vincent,2015-11-26,12:15:26,,2015,r1551248
1,Nov,Thomas,2015-11-26,09:17:08,FTRPC-393: Frontier - Still receiving push notification even when Notifications is off from app settings.,2015,r1551105
3,Nov,Vincent,2015-11-26,07:33:33,actionbar color & background,2015,r1551061
1,Nov,Thomas,2015-11-25,16:42:06,Changed cloudsdkVersion to '1.0.22.10',2015,r1550863
1,Nov,Thomas,2015-11-25,14:17:42,Changed jira url to https,2015,r1550724
3,Nov,Thomas,2015-11-25,11:29:15,"Client used systemAttribute name=""Creation-Date"" instead of versionCreated as version created.",2015,r1550591
1,Nov,Thomas,2015-11-25,11:15:27,Updated splashscreen to re use grphc_pcloud_logo image instead of splash_logo,2015,r1550580
